습촉,그쵸
깔탈,까탈
놓달라고,넣어달라고
노페이,높이
대작,대답
계약적,대략적
덤진,던진
맺었 는데,맺었는데
백막,백만원
본사원,본 사업
본사원,본사업
분사업,본사업
변호사업,본사업
번사업,본사업
도료,부류
성우,상무
선무,상무
성우님,상무님
3장,상장
10버전,신버전
월라인,원라인
알렛,얼랏
업무책을,업무 챗봇을
엑셀팟,엑셀 파일
엔지널,엔진
외약,요약
유서,유사어
유사원,유사어
용자,융자
음대,응대
EMP도,읽기도
장금,잔금
재무접표,재무재표
자문자표,재무재표
재물재폐,재무재표
재유역,재요약
제 요약,재요약
정용화,정형화
책봇,챗봇
책본,챗봇
챕보,챗봇
첩붙,챗봇
채포시,챗봇이
체포청,챗봇창
체포차이,챗봇창
초개의나,초개인화
베이지,페이지
프로포팅,프롬프팅
핀거,핑거
퀸거,핑거
한 땅 한 땅,한땀한땀
화작,화자
회의룩,회의록
헤이룩,회의록
회의복을,회의록을
백핸드,백엔드
가운데리,바운더리
챗지이티,ChatGPT
체제 PT,ChatGPT
체즈피티,ChatGPT
챕터50,ChatGPT
컨티뉴스,컨티뉴어스
델리버리,딜리버리
디벨롭,디벨롭
엑스트림,extreme
재미나이,Gemini
제네렐,제너럴
치킨티스,GPTs
G.BTS,GPTs
bts,GPTs
아이비게임,IBK
ABK,IBK
IPK,IBK
인프로그먼트,임프루브먼트
인프루먼트,임프루브먼트
LNN,LLM
L&M,LLM
lnm,LLM
피어시,PoC
피어싱,PoC
피오씨,PoC
피어싱,PoC
리진행,리즈닝
로버스티니스,로우부스트니스
러버스티뉴스,로우부스트니스
룰메이스,룰베이스
엘스티티,STT
타스크,태스크
유아래,URL
vpl,VPN
브이피,VPN
브이오피아,VPN
깨렸어,깨졌어
짜짓게,짜집기
여의도프레스크,여의도 포레스트
두둥이,뚱이
진진이,징징이
팅거,핑거
언라인,원라인/온라인
투파,투자
KL,PL
트럭도,트러블도
핀터,핑거
렉을,RAG를
SNL,sLLM
상업총괄,사업총괄
도구과제,정부과제
수아씨,승화씨
오재덩,오재동
SLM,sLLM
KM,PM
제동님,재동님
제동이,재동이
처벌이면,쳐버리면
리스트레터,뉴스레터
패파가,캐파가
확수되어,학습이 되어
아이피케어,IBK
주방회의,주간회의
K-로브,회의록
32mm,32B
L40,L40S
13mm,13B
꼬치점,꼭지점
디스퍼,위스퍼
파자,화자
파자 부분,화자 구분
파이 어노트,PyAnnote
엔베딩,임베딩
PUC,PoC
의년중에,은연중에
에이글 칩스,베이글칩스
말씀드렸던척,말씀드렸던 것처럼
에스티티,STT
32비,32B
10삽,14B
시픽스,GPT
스보루,소보루
피오시,PoC
음식률,인식률
헤이록,회의록
외지가,왜지가
지퓨,GPU
QC,PoC
에이티아,API
바라데이터,가라데이터
오재덩 방향,오재동 사원
연구원지능,인공지능
견역직,경력직
상훈님,상무님
제한서,제안서
포르투,프론트
코텔레버,코틀린으로
리액터,리엑트
오플,어플
피우시,PoC
요구 사람들,요구 사항들
포라스 ,플러스
마응대로,마음대로
회의석,회의록
SDT,STT
이번중,이번주
적용저표,재무재표
일작업,일자가
페이록,회의록
멀티타운,멀티턴
채폿,챗봇
추원,추론
동표기적,대표적
할POC네이션,할루시네이션
억점,영업점
패밀리케이션,커뮤니케이션
페이로끈,회의록은
옴프레미스,온프레미스
페이로 유약,회의록 요약
원데스,원 뎁스
투데스,투 뎁스
화석,화자
주재별,주제별
프론터스,프롬프트
미국 부스 ,미국 주식
VPN 내부만,VPN 내부망
미국지침 모니터링,미국주식 모니터링
업무매뉴얼,업무메뉴얼
백선파일,JSON 파일
테이크 데이터,페이크 데이터
칙칙질해서,채찍질해서
관입이,반입이
가로치고,괄호치고
요아리,UI
깍드릴게요,부탁드릴게요
재무조표,재무재표
과거네이터,과거 데이터
블리오,불리오
재구팅,재부팅
ToC,PoC
lrm,llm
lct,llm
14비,14B
SAC,SEC
공기나이피,공인아이피
적극 못할,접근 못할
플러스크,플라스크
sdt,STT
재효청,재요청
멘트워크,네트워크
ATI랑,API랑
spt,STT
유지브스,유지보수
승성화,생성한
단원컨대,단언컨대
브루노마스터,브루노마스
프루노마스,브루노마스
윤수연 선배님,윤수일 선배님
등랑률,등락률
금융별재원,금융결재원
체즈 피팅,ChatGPT
다큐멘트,다큐먼트
에자이소다,애자일소다
투출해서,추출해서
ARP,A와B
텍스트 레이스의,텍스트 베이스의
랭키지 모델,랭귀지 모델
리지징하는,리즈닝하는
오크플로우,워크플로우
레머시,레거시
행성형 AI,생성형 AI
폐쇄범 환경,폐쇄망 환경
QN72,QWEN72
오피팅 되는,오버피팅 되는
생소형 AM,생성형 AI
HVAC,H100
인베딩,임베딩
에자엘 소다,애자일소다
ETFOLM,ETL for LLM
시퀀셔라는,시퀀셜한
랭 그래프,랭그래프
레이전트,에이전트
슈퍼마이저,슈퍼바이저
내년 1분 뒤,내년 1분기
프라이해보고,트라이해보고
잡근을 가입,적금을 가입
70비,70B
파이터닝,파인튜닝
액션노블리,액셔너블
아웃룽,아웃룩
레버시 시스템,레거시 시스템
생소형 AI,생성형 AI
망불이,망분리
AI 생소형,AI 생성형
생산형 AI,생성형 AI
우리연예,우리은행
공입된,독립된
울티미티,인테그리티
노반다다,노가다다
장인의 사업,자기네 사업
고객살이 있다,고객사에 있다
혼자부라면,행자부라면
간략부서,관련 부서
유지무수,유지보수
철바람 영업,철가방 영업
수조 확률,수주 확률
프리세일지,프리세일즈
철바람,철가방
감생장,밤샘 작업
코스탑,코스닥
억테넴,억텐을
웨인,외인
차익신원,차익 실현
SNP,S&P
새우고침,새로고침
추춤,주춤
대빨라 ,댓발나
박상급 논문,박사급 논문
위패,위폐
윗펜,위폐
비조지폐,위조지폐
클러스트리,클러스터링 
저달점,조달청
허위사식탐진,허위사실 탐지
파이트 라벨링,화이트 라벨링
에메랩,LLM
접처리,전처리
트레이지메이커,세이지 메이커
책붓,챗봇
행성시키는,생성시키는
행성해가지고,생성해가지고
유약,요약
std쪽,STT쪽
파루스,파로스
NLM,LLM
권위사항,건의사항
엠베이딩,임베딩
뀨사시,Few Shot이
에젠플,이그젬플
막히끔,맞게끔
코포스,코퍼스
젠마트,Gemma2
엠베징,임베딩
복캡,보캡
에메랩스,MLOPs
웰커버,외교부
보호소 행성 서비스,보고서 생성 서비스
7GPT,ChatGPT
7GTP,ChatGPT
올건하이즈,오거나이즈
에렐엠,LLM
금리를 이나하는,금리를 인하하는
제열사,계열사
형산관리,형상관리
LMM,LLM
SLRM,sLLM
LRM,LLM
핑커,핑거
왓스,WAS
신화은행,신한은행
소트북스,솔트룩스
해외록,회의록
롱협은행,농협은행
릴랭커,리랭커
밀머스,밀버스
김정한상문님,김종환 상무님
리듬컬,리랭커
리렉거,리랭커
인베팅,임베딩
패스트 시즈아이,Fast CGI
