timestamp
"(0.03096875, 3.0853437500000003)"
"(3.3215937500000003, 9.21096875)"
"(9.329093750000002, 11.185343750000001)"
"(13.193468750000001, 16.63596875)"
"(18.03659375, 18.40784375)"
"(18.79596875, 19.38659375)"
"(19.605968750000002, 20.95596875)"
"(21.20909375, 22.59284375)"
"(23.06534375, 40.986593750000004)"
"(41.32409375, 43.079093750000006)"
"(43.23096875, 74.14596875000001)"
"(75.64784375, 88.99596875)"
"(92.20221875, 93.07971875000001)"
"(93.21471875, 100.33596875)"
"(100.85909375, 121.48034375)"
"(121.96971875000001, 130.52534375000002)"
"(131.57159375, 193.40159375000002)"
"(193.51971875, 221.97096875000003)"
"(222.88221875000002, 238.01909375000002)"
"(239.40284375000002, 241.00596875000002)"
"(241.69784375, 276.00471875)"
"(276.59534375000004, 305.56971875)"
"(306.49784375, 344.70284375)"
"(345.04034375000003, 346.27221875000004)"
"(346.81221875, 355.45221875000004)"
"(355.77284375000005, 367.16346875000005)"
"(367.58534375000005, 383.86971875)"
"(384.19034375, 411.71346875)"
"(412.05096875000004, 440.68784375)"
"(441.68346875000003, 444.60284375000003)"
"(445.32846875, 449.02409375)"
"(450.37409375000004, 479.34846875000005)"
"(479.87159375000005, 481.08659375)"
"(481.69409375000004, 533.0447187500001)"
"(533.28096875, 546.0047187499999)"
"(546.35909375, 546.8484687499999)"
"(546.9665937500001, 563.4365937499999)"
"(564.90471875, 574.55721875)"
"(574.70909375, 579.2990937500001)"
"(579.90659375, 583.14659375)"
"(583.41659375, 607.51409375)"
"(609.8259687500001, 618.9553437500001)"
"(623.3259687500001, 629.41784375)"
"(634.34534375, 634.76721875)"
"(635.62784375, 637.16346875)"
"(637.61909375, 637.99034375)"
"(638.3953437499999, 639.27284375)"
"(642.0234687500001, 643.52534375)"
"(643.8459687500001, 644.45346875)"
"(645.6853437500001, 650.41034375)"
"(650.69721875, 652.2665937500001)"
"(655.15221875, 658.25721875)"
"(660.34971875, 661.1765937499999)"
"(662.5265937500001, 663.21846875)"
"(667.99409375, 668.68596875)"
"(669.25971875, 669.36096875)"
"(669.47909375, 671.3015937499999)"
"(671.90909375, 677.4778437500001)"
"(681.3928437500001, 681.8147187500001)"
"(682.1184687500001, 691.0959687500001)"
"(695.11221875, 727.5290937500001)"
"(729.72284375, 738.43034375)"
"(738.53159375, 753.92159375)"
"(756.45284375, 761.46471875)"
"(762.5109687500001, 769.8684687500001)"
"(772.60221875, 773.74971875)"
"(777.95159375, 778.64346875)"
"(779.06534375, 781.59659375)"
"(784.1615937500001, 785.4778437500001)"
"(786.9797187500001, 787.36784375)"
"(787.90784375, 788.4309687500001)"
"(793.08846875, 793.6115937500001)"
"(795.4678437500002, 822.4340937500001)"
"(828.0872187500001, 831.51284375)"
"(832.64346875, 835.1072187500001)"
"(836.3728437500001, 838.0434687500001)"
"(840.08534375, 840.8953437500002)"
"(841.60409375, 849.0122187500001)"
"(849.34971875, 856.40346875)"
"(858.05721875, 864.87471875)"
"(866.7478437500001, 867.7265937500001)"
"(871.7934687500001, 876.38346875)"
"(877.93596875, 878.72909375)"
"(891.7565937500001, 897.86534375)"
"(899.6203437500001, 900.2109687500001)"
"(901.6453437500002, 903.68721875)"
"(904.61534375, 915.44909375)"
"(917.11971875, 917.6428437500001)"
"(920.91659375, 923.5828437500002)"
"(923.7009687500001, 923.78534375)"
"(925.9453437500001, 938.5678437500001)"
"(939.52971875, 941.4028437500001)"
"(942.6684687500001, 944.72721875)"
"(950.8022187500001, 950.9540937500001)"
"(956.8940937500001, 957.0290937500001)"
"(958.49721875, 967.89659375)"
"(974.24159375, 980.04659375)"
"(982.13909375, 985.51409375)"
"(986.64471875, 1001.54534375)"
"(1001.98409375, 1015.06221875)"
"(1016.73284375, 1019.11221875)"
"(1020.51284375, 1021.93034375)"
"(1022.92596875, 1023.5334687500001)"
"(1024.4109687500002, 1027.54971875)"
"(1028.0728437500002, 1031.95409375)"
"(1032.22409375, 1046.02784375)"
"(1048.98096875, 1051.1409687500002)"
"(1055.9334687500002, 1059.6797187500001)"
"(1073.01096875, 1073.9222187500002)"
"(1083.0347187500001, 1085.5828437500002)"
"(1090.88159375, 1092.70409375)"
"(1095.7078437500002, 1096.9903437500002)"
"(1097.3784687500001, 1098.71159375)"
"(1100.0953437500002, 1104.9890937500002)"
"(1105.1240937500002, 1113.1228437500001)"
"(1113.64596875, 1131.4322187500002)"
"(1133.89596875, 1140.76409375)"
"(1142.0128437500002, 1142.60346875)"
"(1142.8059687500001, 1143.9703437500002)"
"(1151.36159375, 1157.4365937500002)"
"(1160.4403437500002, 1166.81909375)"
"(1168.5403437500001, 1173.4678437500002)"
"(1174.7503437500002, 1180.9265937500002)"
"(1183.42409375, 1194.91596875)"
"(1199.5059687500002, 1201.53096875)"
"(1205.05784375, 1259.3784687500001)"
"(1259.63159375, 1260.05346875)"
"(1260.30659375, 1261.9603437500002)"
"(1262.28096875, 1280.5397187500002)"
"(1281.7378437500001, 1282.98659375)"
"(1285.4503437500002, 1286.07471875)"
"(1305.31221875, 1306.17284375)"
"(1308.5184687500002, 1309.0753437500002)"
"(1309.39596875, 1309.69971875)"
"(1311.3197187500002, 1312.6865937500002)"
"(1313.1084687500002, 1313.7328437500003)"
"(1314.34034375, 1314.8465937500002)"
"(1318.12034375, 1318.82909375)"
"(1324.8365937500002, 1325.6297187500002)"
"(1338.0497187500002, 1338.2690937500001)"
"(1349.4065937500002, 1349.5584687500002)"
"(1363.3284687500002, 1364.1384687500001)"
"(1384.8778437500002, 1385.2322187500001)"
"(1392.94409375, 1394.1422187500002)"
"(1399.4578437500002, 1399.84596875)"
"(1404.30096875, 1404.7734687500001)"
"(1406.6128437500001, 1407.57471875)"
"(1430.3728437500001, 1430.7947187500001)"
"(1433.15721875, 1435.2159687500002)"
"(1441.1053437500002, 1442.45534375)"
"(1459.44846875, 1460.9165937500002)"
"(1464.35909375, 1466.8565937500002)"
"(1493.5697187500002, 1494.3797187500002)"
"(1502.0240937500002, 1502.90159375)"
"(1528.5347187500001, 1534.6265937500002)"
"(1535.0315937500002, 1535.7740937500002)"
"(1536.24659375, 1536.5503437500001)"
"(1544.3465937500002, 1545.6290937500003)"
"(1547.50221875, 1551.82221875)"
"(1552.7503437500002, 1554.9778437500001)"
"(1568.42721875, 1572.2072187500003)"
"(1581.80909375, 1586.5340937500002)"
"(1606.54784375, 1607.0372187500002)"
"(1617.66846875, 1617.8540937500002)"
"(1636.77096875, 1637.1084687500002)"
"(1655.1309687500002, 1655.2490937500002)"
"(1657.6622187500002, 1658.2359687500002)"
"(1658.6072187500001, 1662.5390937500001)"
"(1662.8765937500002, 1665.9140937500001)"
"(1666.2684687500002, 1668.96846875)"
"(1669.3059687500001, 1669.7615937500002)"
"(1670.4872187500002, 1672.1072187500001)"
"(1673.5078437500001, 1675.3472187500001)"
"(1675.5159687500002, 1678.5872187500001)"
"(1681.1690937500002, 1682.75534375)"
"(1706.38034375, 1710.2109687500001)"
"(1731.4059687500003, 1732.0809687500002)"
"(1734.2578437500001, 1735.2872187500002)"
"(1735.5740937500002, 1739.7759687500002)"
"(1740.13034375, 1743.3534687500003)"
"(1743.92721875, 1748.1965937500001)"
"(1760.2959687500002, 1763.3840937500001)"
"(1768.4803437500002, 1768.5984687500002)"
